LavatoryID	Description	City	Street	Number (Time)	PostalCode	Country	Longitude	Latitude	isOwnedByWall	isHandicappedAccessible	Price	canBePayedWithCoins	canBePayedInApp	canBePayedWithNFC	hasChangingTable	LabelID
Wall_5367	Toilette Haus Nr. 63-65 (Badestelle Saatwinkel) (ex. Saatwinkel)	Berlin	Im Saatwinkel	(0-24 Uhr)	13599	Deutschland	13,24652778	52,56166667	1	0	0	0	0	0	0	5
Wall_5368	Toilette verlängerte Sterkrader Str.	Berlin	Flughafensee Tegel , Schwarzer Weg	(0-24 Uhr)	13507	Deutschland	13,28552778	52,57077778	1	0	0	0	0	0	0	5
Wall_5369	Toilette Zufahrt Insel Scharfenberg/Freibad Tegeler See (ex. Strandbad Tegel)	Berlin	Schwarzer Weg	(0-24 Uhr)	13505	Deutschland	13,24322222	52,576	1	0	0	0	0	0	0	5
Wall_5370	Toilette Revierförsterei Tegelsee/Parkplatz (ex. Revierförsterei Tegel Schwarzer Weg)	Berlin	Schwarzer Weg	71 (0-24 Uhr)	13505	Deutschland	13,25380556	52,58538889	1	0	0	0	0	0	0	5
Wall_5371	Toilette Uferweg (Große Badewiese) (ex. Große Badewiese/Waldschluchtpfad)	Berlin	verlängerter Waldschluchtpfad	(0-24 Uhr)	14089	Deutschland	13,18155556	52,46983333	1	0	0	0	0	0	0	5
Wall_5373	Toilette Haus Nr. 15 (ex. Groß Glienicker See/Badewiese)	Berlin	Groß Glienicker See , Uferpromenade	(0-24 Uhr)	14089	Deutschland	13,119	52,47119444	1	0	0	0	0	0	0	5
Wall_5374	Toilette Im Dohl (Groß Glienicker See/DLRG-Wasserrettungsstation) (ex. Groß Glienicker See/Pferdek.)	Berlin	Groß Glienicker See , verlängerte Uferpromenade	(0-24 Uhr)	14089	Deutschland	13,11545833	52,46125	1	0	0	0	0	0	0	5
Wall_5376	Toilette Bürgerablage (Badestelle)	Berlin	Bürgerablage , Niederneuendorfer Allee	80 (0-24 Uhr)	13587	Deutschland	13,21008333	52,58522222	1	0	0	0	0	0	0	5
Wall_5377	Toilette Uferpromenade (ex. Aalemannkanal)	Berlin	Rustweg	(0-24 Uhr)	13587	Deutschland	13,21916667	52,57538889	1	0	0	0	0	0	0	5
Wall_5378	Toilette Tiergarten-Unterschleuse (ex. Tiergarten Schleuse)	Berlin	Großer Tiergarten , Tiergartenufer	(0-24 Uhr)	10787	Deutschland	13,33672222	52,51261111	1	0	0	0	0	0	0	5
Wall_5379	Toilette Spreeweg (Tiergarten Spielplatz) (ex. Tiergarten Spielplatz)	Berlin	Großer Tiergarten , Bellevueallee	(0-24 Uhr)	10557	Deutschland	13,35663889	52,51633333	1	0	0	0	0	0	0	5
Wall_5381	Toilette Transvaalstr. (Plötzensee/Volkspark Rehberge) (ex. Dohnagestell / Plötzensee)	Berlin	Dohnagestell	(0-24 Uhr)	13351	Deutschland	13,32997222	52,54672222	1	0	0	0	0	0	0	5
Wall_5382	Toilette Hüttenweg/AVUS A115	Berlin	Kronprinzessinnenweg	(0-24 Uhr)	14193	Deutschland	13,23525	52,46897222	1	0	0	0	0	0	0	5
Wall_5383	Toilette (Wanderwegekreuzung mit Umgehungschaussee) (ex.Grunewaldsee Ost)	Berlin	Grunewaldsee-Ostufer	(0-24 Uhr)	14193	Deutschland	13,26611111	52,47180556	1	0	0	0	0	0	0	5
Wall_5384	Toilette Parkplatz Lieper Bucht (ex. Lieper Bucht/Parkplatz Havelchaussee)	Berlin	Havelchaussee	(0-24 Uhr)	14193	Deutschland	13,19816667	52,4695	1	0	0	0	0	0	0	5
Wall_5385	Toilette Friedenthalpark (Badewiese Halensee) (ex. Halensee/Badewiese)	Berlin	Halensee , Halenseestr.	(0-24 Uhr)	14193	Deutschland	13,28333333	52,49561111	1	0	0	0	0	0	0	5
